article_title,Before_ChatGPT,Release_Day,After_ChatGPT,avg_view_difference,pct_change
AI_alignment,177.5,196.0,316.0,138.5,78.0281690140845
Artificial_general_intelligence,1011.5,1037.0,1091.5,80.0,7.909045971329709
Zero-shot_learning,376.0,363.0,453.5,77.5,20.611702127659576
Yoshua_Bengio,206.0,230.0,257.5,51.5,25.0
Manifold_hypothesis,39.5,637.0,86.0,46.5,117.72151898734178
ROCm,121.0,133.0,166.5,45.5,37.60330578512397
Hugging_Face,343.5,380.0,382.5,39.0,11.353711790393014
Inception_score,54.0,52.0,88.0,34.0,62.96296296296296
Fairness_(machine_learning),139.5,128.0,168.0,28.5,20.43010752688172
Few-shot_learning,24.0,20.0,49.0,25.0,104.16666666666667
Neurorobotics,29.5,20.0,52.5,23.0,77.96610169491525
Machine_Learning_(journal),85.0,93.0,108.0,23.0,27.058823529411764
Prompt_engineering,223.0,200.0,245.5,22.5,10.089686098654708
Multiple_instance_learning,70.0,71.0,92.0,22.0,31.428571428571427
Ball_tree,47.5,59.0,67.5,20.0,42.10526315789473
Multi-task_learning,109.5,140.0,128.0,18.5,16.894977168949772
Bayesian_structural_time_series,57.5,51.0,76.0,18.5,32.17391304347826
Feature_(machine_learning),197.0,245.0,215.0,18.0,9.137055837563452
Artificial_brain,58.5,72.0,75.5,17.0,29.059829059829063
Machine_learning_control,80.5,76.0,95.5,15.0,18.633540372670808
Progress_in_artificial_intelligence,52.0,64.0,66.5,14.5,27.884615384615387
Inductive_bias,149.0,149.0,162.0,13.0,8.724832214765101
Category_utility,2.5,1.0,14.0,11.5,459.99999999999994
Quantum_machine_learning,166.5,185.0,178.0,11.5,6.906906906906906
AI-complete,66.5,85.0,77.5,11.0,16.541353383458645
Self-management_(computer_science),15.0,29.0,25.5,10.5,70.0
Psychology_of_reasoning,42.5,49.0,52.5,10.0,23.52941176470588
Eager_learning,12.0,18.0,22.0,10.0,83.33333333333334
Wadhwani_Institute_for_Artificial_Intelligence,10.0,12.0,19.5,9.5,95.0
Relational_data_mining,8.0,5.0,17.5,9.5,118.75
Semi-supervised_learning,61.0,77.0,69.5,8.5,13.934426229508196
